u_node_id,v_node_id,tau_idx,tau,frac,n_samples_used
2,11,94,0.94,0.8536659479141235,8
2,11,95,0.95,0.8780549764633179,8
2,11,96,0.96,0.9024439454078674,8
2,11,97,0.97,0.9268329739570618,8
2,11,98,0.98,0.9512219429016113,8
2,11,99,0.99,0.9756109714508057,8
2,11,100,1.0,1.0,8
3,8,0,0.0,0.0,6
3,8,1,0.01,0.00045624375343322754,6
3,8,2,0.02,0.0009125173091888428,6
3,8,3,0.03,0.0013687610626220703,6
3,8,4,0.04,0.0018250048160552979,6
3,8,5,0.05,0.0022812485694885254,6
3,8,6,0.06,0.0027375221252441406,6
3,8,7,0.07,0.003193765878677368,6
3,8,8,0.08,0.0036500096321105957,6
3,8,9,0.09,0.004106253385543823,6
3,8,10,0.1,0.0045625269412994385,6
3,8,11,0.11,0.005018770694732666,6
3,8,12,0.12,0.0054750144481658936,6
3,8,13,0.13,0.005931258201599121,6
3,8,14,0.14,0.006387531757354736,6
3,8,15,0.15,0.010819613933563232,6
3,8,16,0.16,0.016790270805358887,6
3,8,17,0.17,0.022760897874832153,6
3,8,18,0.18,0.028731554746627808,6
3,8,19,0.19,0.03470221161842346,6
3,8,20,0.2,0.04067283868789673,6
3,8,21,0.21,0.04664349555969238,6
3,8,22,0.22,0.05261415243148804,6
3,8,23,0.23,0.05858480930328369,6
3,8,24,0.24,0.06455543637275696,6
3,8,25,0.25,0.07052609324455261,6
3,8,26,0.26,0.07649675011634827,6
3,8,27,0.27,0.08246737718582153,6
3,8,28,0.28,0.08843803405761719,6
3,8,29,0.29,0.09517794847488403,6
3,8,30,0.3,0.10294350981712341,6
3,8,31,0.31,0.11070910096168518,6
3,8,32,0.32,0.11847466230392456,6
3,8,33,0.33,0.12624025344848633,6
3,8,34,0.34,0.1340058445930481,6
3,8,35,0.35,0.14177140593528748,6
3,8,36,0.36,0.14953699707984924,6
3,8,37,0.37,0.15730255842208862,6
3,8,38,0.38,0.16524003446102142,6
3,8,39,0.39,0.17334939539432526,6
3,8,40,0.4,0.1814587265253067,6
3,8,41,0.41,0.18956810235977173,6
3,8,42,0.42,0.19767743349075317,6
3,8,43,0.43,0.2058294713497162,6
3,8,44,0.44,0.21502506732940674,6
3,8,45,0.45,0.22573363780975342,6
3,8,46,0.46,0.2364422231912613,6
3,8,47,0.47,0.24715079367160797,6
3,8,48,0.48,0.25785937905311584,6
3,8,49,0.49,0.2685679495334625,6
3,8,50,0.5,0.2792765200138092,6
3,8,51,0.51,0.28998512029647827,6
3,8,52,0.52,0.30062100291252136,6
3,8,53,0.53,0.3139137923717499,6
3,8,54,0.54,0.32959187030792236,6
3,8,55,0.55,0.34526994824409485,6
3,8,56,0.56,0.3609480559825897,6
3,8,57,0.57,0.3766261339187622,6
3,8,58,0.58,0.3923042416572571,6
3,8,59,0.59,0.40798231959342957,6
3,8,60,0.6,0.42366039752960205,6
3,8,61,0.61,0.4393385052680969,6
3,8,62,0.62,0.4550165832042694,6
3,8,63,0.63,0.4712987244129181,6
3,8,64,0.64,0.4881848990917206,6
3,8,65,0.65,0.5050188302993774,6
3,8,66,0.66,0.5211477875709534,6
3,8,67,0.67,0.5372767448425293,6
3,8,68,0.68,0.5534057021141052,6
3,8,69,0.69,0.5695346593856812,6
3,8,70,0.7,0.5856635570526123,6
3,8,71,0.71,0.601478099822998,6
3,8,72,0.72,0.6172311305999756,6
3,8,73,0.73,0.6329842805862427,6
3,8,74,0.74,0.6487373113632202,6
3,8,75,0.75,0.6644904017448425,6
3,8,76,0.76,0.6803106069564819,6
3,8,77,0.77,0.6961308717727661,6
3,8,78,0.78,0.7119511365890503,6
3,8,79,0.79,0.7277714014053345,6
3,8,80,0.8,0.7435916066169739,6
3,8,81,0.81,0.7594118118286133,6
3,8,82,0.82,0.7752320766448975,6
3,8,83,0.83,0.7910523414611816,6
3,8,84,0.84,0.8040163516998291,6
3,8,85,0.85,0.8155522346496582,6
