u_node_id,v_node_id,edge_distance,time_s,energy_J,mean_speed,mean_power_W,slowdown_idx,samples,energy_J_per_m
23,24,0.896437406539917,6.0,455.21391129033873,0.14440227726142474,75.86898521505645,0.5174040040535031,6,507.8033423966325
30,31,0.44418466091156006,4.0,292.4842467010021,0.18762763759828627,73.12106167525053,0.3729437765728214,4,658.4744419151331
31,32,0.43829214572906494,4.0,288.00312500004657,0.18490901481350805,72.00078125001164,0.38202948141975845,4,657.1030939214659
32,35,1.4200352430343628,6.0,469.1112903225585,0.2324587751176075,78.18521505375975,0.22311700187879924,6,330.35186459186116
35,33,0.6406990885734558,6.0,452.0990927419625,0.20066568175739244,75.34984879032709,0.32937030927377686,6,705.6340500633155
33,6,1.2208967208862305,6.0,450.1314516128623,0.23986550820228494,75.02190860214371,0.19836351600933055,6,368.68921335632604
6,33,1.3053491115570068,6.0,457.42499999998836,0.2403735002755376,76.23749999999806,0.19666579388767402,6,350.42349663407407
33,34,0.5456188917160034,5.0,360.2390120967175,0.20518430953225802,72.0478024193435,0.3142689430579596,5,660.2392577788952
34,28,0.6100819706916809,4.0,280.273991935479,0.18403349909274191,70.06849798386975,0.38495547669658514,4,459.4038266984322
28,29,0.5819143056869507,5.0,379.3881048387266,0.18711339016129033,75.87762096774532,0.3746624042754212,5,651.9655920657568
29,5,1.2717328071594238,6.0,455.1187500000233,0.22245688156249996,75.85312500000389,0.2565435784752296,6,357.87293324341346
5,29,1.274154543876648,6.0,455.79072580637876,0.24358688932752015,75.96512096772979,0.18592656789127526,6,357.72012743416803
29,26,0.6646413803100586,6.0,459.74687500001164,0.20950423799731185,76.6244791666686,0.29983163486900355,6,691.7217143259081
25,23,0.9280086159706116,6.0,456.29818548390176,0.1639228203629032,76.04969758065029,0.4521658643362211,6,491.696065781303
23,20,3.1761534214019775,6.0,461.3861895161099,0.29763281770833333,76.89769825268498,0.0053037333457209845,6,145.26571242029317
20,21,0.9051191210746765,6.0,452.5531249999767,0.13169525661962364,75.42552083332946,0.5598711825387892,6,499.9928898448705
21,14,4.371143817901611,6.0,467.78427419351647,0.29808705572916666,77.9640456989194,0.003785658601899833,6,107.01644550740922
14,12,0.6603029370307922,5.0,390.1656250000233,0.29879749157258056,78.03312500000466,0.0014113643739236403,5,590.888822567555
13,11,0.5543110370635986,4.0,306.9289314515772,0.29900026423891124,76.7322328628943,0.0007336930884395132,4,553.7124663392945
11,2,3.520909070968628,6.0,464.11249999998836,0.29880969109543004,77.3520833333314,0.0013705932656608022,6,131.81609937808125
2,11,3.520909070968628,6.0,469.1774193547899,0.29849952261424734,78.19623655913165,0.00240718403089224,6,133.25462541005518
11,12,0.6000833511352539,5.0,387.8968749999767,0.2853389109475807,77.57937499999534,0.046390274983411084,5,646.4049940164861
12,15,0.46141088008880615,5.0,380.85806451615645,0.1944732266330645,76.17161290323129,0.3500656480506631,5,825.4206412359717
15,16,0.6603029370307922,5.0,384.1674395161099,0.22531776563416422,76.83348790322198,0.24698243287533872,5,581.8048322541307
16,18,0.4601086974143982,5.0,390.42707722377963,0.2968466982862903,78.08541544475592,0.007930963972610061,5,848.5540034730975
18,4,1.4703060388565063,6.0,463.28125,0.2787816605241935,77.21354166666667,0.0683047687071916,6,315.09171407627855
4,18,1.4703060388565063,6.0,458.95804924244294,0.25969668569464804,76.49300820707383,0.1320872284450253,6,312.1513733286344
18,17,0.35468295216560364,4.0,302.08336693549063,0.15976118078239546,75.52084173387266,0.4660741671428973,4,851.6997084044966
10,7,0.48010414838790894,5.0,390.82500000001164,0.28786878786290326,78.16500000000232,0.03793536351853277,5,814.0421225526204
7,1,3.510911464691162,6.0,465.58578629029216,0.2986276927083333,77.59763104838203,0.001978836394144201,6,132.61108716999433
1,7,3.510911464691162,6.0,465.6930443548481,0.29850060198252687,77.61550739247468,0.002403576755302561,6,132.64163709004632
7,8,0.3471311032772064,6.0,458.29327651514905,0.19604047604838706,76.38221275252484,0.3448278615916942,6,1320.231094789488
8,3,1.5105297565460205,6.0,459.18064516130835,0.24654291749999993,76.53010752688472,0.17604744834414277,6,303.9864942556785
3,8,1.5105297565460205,6.0,457.5607862903271,0.26495551217405916,76.26013104838785,0.11451209978035304,6,302.91411626116275
8,9,0.4701063632965088,5.0,389.1184475806658,0.2987479932459677,77.82368951613316,0.001576789010449109,5,827.7242725498661
