u_node_id,v_node_id,k_idx,x,y,n_samples_used
4,18,22,-4.747211456298828,17.275161743164062,6
4,18,23,-4.749625205993652,17.27533531188965,6
4,18,24,-4.75203800201416,17.275508880615234,6
4,18,25,-4.754449844360352,17.275562286376953,6
4,18,26,-4.755402088165283,17.275157928466797,6
4,18,27,-4.738594055175781,17.274606704711914,6
4,18,28,-4.7217864990234375,17.27405548095703,6
4,18,29,-4.704978942871094,17.27350425720215,6
4,18,30,-4.688170909881592,17.272953033447266,6
4,18,31,-4.67136287689209,17.271514892578125,6
4,18,32,-4.654555320739746,17.2691593170166,6
4,18,33,-4.637747764587402,17.26772689819336,6
4,18,34,-4.6209397315979,17.267688751220703,6
4,18,35,-4.604132175445557,17.267650604248047,6
4,18,36,-4.587324142456055,17.26761245727539,6
4,18,37,-4.570516586303711,17.267574310302734,6
4,18,38,-4.553709030151367,17.267608642578125,6
4,18,39,-4.536900997161865,17.267715454101562,6
4,18,40,-4.520092964172363,17.267820358276367,6
4,18,41,-4.5032854080200195,17.267925262451172,6
4,18,42,-4.486477375030518,17.26803207397461,6
4,18,43,-4.469669342041016,17.268138885498047,6
4,18,44,-4.452861785888672,17.26824378967285,6
4,18,45,-4.436054706573486,17.268348693847656,6
4,18,46,-4.419247627258301,17.268455505371094,6
4,18,47,-4.402441024780273,17.268558502197266,6
4,18,48,-4.385634422302246,17.26866340637207,6
4,18,49,-4.3688273429870605,17.268768310546875,6
4,18,50,-4.352020263671875,17.268871307373047,6
4,18,51,-4.335213661193848,17.26897430419922,6
4,18,52,-4.31840705871582,17.269081115722656,6
4,18,53,-4.301599979400635,17.269184112548828,6
4,18,54,-4.284796714782715,17.269287109375,6
4,18,55,-4.267995834350586,17.269390106201172,6
4,18,56,-4.251195430755615,17.269495010375977,6
4,18,57,-4.2343950271606445,17.26959991455078,6
4,18,58,-4.217594146728516,17.26973533630371,6
4,18,59,-4.200794219970703,17.270374298095703,6
4,18,60,-4.183993339538574,17.271095275878906,6
4,18,61,-4.167193412780762,17.27181625366211,6
4,18,62,-4.151163101196289,17.272539138793945,6
4,18,63,-4.135226249694824,17.27326202392578,6
4,18,64,-4.119289398193359,17.273983001708984,6
4,18,65,-4.1033525466918945,17.274703979492188,6
4,18,66,-4.08741569519043,17.27542495727539,6
4,18,67,-4.071478843688965,17.276147842407227,6
4,18,68,-4.0555419921875,17.276870727539062,6
4,18,69,-4.039605140686035,17.277591705322266,6
4,18,70,-4.02366828918457,17.2783145904541,6
4,18,71,-4.0077314376831055,17.279041290283203,6
4,18,72,-3.991788864135742,17.279781341552734,6
4,18,73,-3.975846290588379,17.280521392822266,6
4,18,74,-3.9599034786224365,17.28110694885254,6
4,18,75,-3.943960666656494,17.28158950805664,6
4,18,76,-3.928018093109131,17.282073974609375,6
4,18,77,-3.9120755195617676,17.28255844116211,6
4,18,78,-3.8961329460144043,17.283042907714844,6
4,18,79,-3.880190372467041,17.283527374267578,6
4,18,80,-3.8642473220825195,17.28400993347168,6
4,18,81,-3.848297595977783,17.284318923950195,6
4,18,82,-3.8323469161987305,17.28461456298828,6
4,18,83,-3.816396474838257,17.284910202026367,6
4,18,84,-3.800446033477783,17.285205841064453,6
4,18,85,-3.7844953536987305,17.28550148010254,6
4,18,86,-3.7685446739196777,17.285743713378906,6
4,18,87,-3.7526066303253174,17.28591537475586,6
4,18,88,-3.7366743087768555,17.286685943603516,6
4,18,89,-3.7207422256469727,17.287466049194336,6
4,18,90,-3.70481014251709,17.288246154785156,6
4,18,91,-3.688878059387207,17.28902816772461,6
4,18,92,-3.672945976257324,17.289810180664062,6
4,18,93,-3.6570138931274414,17.290592193603516,6
4,18,94,-3.6410818099975586,17.291372299194336,6
4,18,95,-3.6251494884490967,17.292152404785156,6
4,18,96,-3.609217405319214,17.29293441772461,6
4,18,97,-3.593285322189331,17.293716430664062,6
4,18,98,-3.5773532390594482,17.294496536254883,6
4,18,99,-3.5614209175109863,17.295276641845703,6
5,29,0,-4.408877372741699,1.454039216041565,7
5,29,1,-4.395787239074707,1.4544802904129028,7
5,29,2,-4.382697582244873,1.4549213647842407,7
5,29,3,-4.369607448577881,1.4553624391555786,7
5,29,4,-4.356517314910889,1.4558035135269165,7
5,29,5,-4.3434271812438965,1.4562445878982544,7
5,29,6,-4.3303375244140625,1.4566856622695923,7
5,29,7,-4.31724739074707,1.4571267366409302,7
5,29,8,-4.320082664489746,1.4576778411865234,7
5,29,9,-4.307019233703613,1.4580944776535034,7
5,29,10,-4.2939558029174805,1.4583417177200317,7
5,29,11,-4.2986860275268555,1.4576749801635742,7
5,29,12,-4.287424564361572,1.4581260681152344,7
5,29,13,-4.273255348205566,1.4586747884750366,7
5,29,14,-4.259085655212402,1.4592235088348389,7
5,29,15,-4.2449164390563965,1.4594318866729736,7
5,29,16,-4.251800537109375,1.4587997198104858,7
5,29,17,-4.249880313873291,1.458167552947998,7
5,29,18,-4.235889434814453,1.4575353860855103,7
5,29,19,-4.221898078918457,1.456984043121338,7
5,29,20,-4.207906723022461,1.456451177597046,7
5,29,21,-4.193915367126465,1.455918312072754,7
5,29,22,-4.179921627044678,1.4553855657577515,7
5,29,23,-4.165927886962891,1.4548527002334595,7
5,29,24,-4.1519341468811035,1.4543198347091675,7
5,29,25,-4.137940406799316,1.4537869691848755,7
5,29,26,-4.123946666717529,1.4532541036605835,7
5,29,27,-4.109952926635742,1.452721357345581,7
5,29,28,-4.095959186553955,1.4450145959854126,7
5,29,29,-4.081965446472168,1.4392629861831665,7
5,29,30,-4.067971706390381,1.4394735097885132,7
5,29,31,-4.053977966308594,1.4396840333938599,7
5,29,32,-4.039984226226807,1.4398945569992065,7
5,29,33,-4.025990962982178,1.4401049613952637,7
5,29,34,-4.011997222900391,1.4403154850006104,7
5,29,35,-3.9980032444000244,1.440526008605957,7
5,29,36,-3.9840095043182373,1.4407365322113037,7
5,29,37,-3.97001576423645,1.4409470558166504,7
5,29,38,-3.956022024154663,1.441157579421997,7
5,29,39,-3.942028522491455,1.4413681030273438,7
5,29,40,-3.928034782409668,1.4415786266326904,7
5,29,41,-3.914041042327881,1.4417890310287476,7
5,29,42,-3.9000473022460938,1.4419995546340942,7
5,29,43,-3.886054039001465,1.4422897100448608,7
5,29,44,-3.8720617294311523,1.4426164627075195,7
5,29,45,-3.85806941986084,1.4429430961608887,7
5,29,46,-3.8440771102905273,1.4432698488235474,7
5,29,47,-3.830084800720215,1.443596601486206,7
5,29,48,-3.8160922527313232,1.4439232349395752,7
5,29,49,-3.8020999431610107,1.4442499876022339,7
5,29,50,-3.7881076335906982,1.4445767402648926,7
5,29,51,-3.7741153240203857,1.4449034929275513,7
5,29,52,-3.7601230144500732,1.4453343152999878,7
5,29,53,-3.7461307048797607,1.445887565612793,7
5,29,54,-3.7321383953094482,1.446294903755188,7
5,29,55,-3.7181458473205566,1.4467023611068726,7
5,29,56,-3.704153537750244,1.4471096992492676,7
5,29,57,-3.6901612281799316,1.4475171566009521,7
5,29,58,-3.676168918609619,1.4479244947433472,7
5,29,59,-3.6621766090393066,1.4483319520950317,7
5,29,60,-3.648184299468994,1.4487392902374268,7
5,29,61,-3.6341850757598877,1.4491467475891113,7
5,29,62,-3.6201834678649902,1.4495540857315063,7
5,29,63,-3.6061816215515137,1.449961543083191,7
5,29,64,-3.592179775238037,1.450368881225586,7
5,29,65,-3.5781779289245605,1.4507763385772705,7
5,29,66,-3.564176082611084,1.4511836767196655,7
5,29,67,-3.5501742362976074,1.45159113407135,7
5,29,68,-3.5362610816955566,1.4519984722137451,7
5,29,69,-3.5231897830963135,1.4530842304229736,7
5,29,70,-3.5101184844970703,1.4561209678649902,7
5,29,71,-3.497047185897827,1.4591577053070068,7
5,29,72,-3.483975887298584,1.4621943235397339,7
5,29,73,-3.470904588699341,1.4652310609817505,7
5,29,74,-3.4578397274017334,1.468267798423767,7
5,29,75,-3.444796085357666,1.4691981077194214,7
5,29,76,-3.4317524433135986,1.4695701599121094,7
5,29,77,-3.4187088012695312,1.4699422121047974,7
5,29,78,-3.405665159225464,1.4703142642974854,7
5,29,79,-3.3926215171813965,1.4706863164901733,7
5,29,80,-3.379577875137329,1.4710583686828613,7
5,29,81,-3.3665342330932617,1.4714304208755493,7
5,29,82,-3.3534905910491943,1.4718024730682373,7
5,29,83,-3.340446710586548,1.4721745252609253,7
5,29,84,-3.3274030685424805,1.4725465774536133,7
5,29,85,-3.314359426498413,1.4729186296463013,7
5,29,86,-3.3013157844543457,1.4732906818389893,7
5,29,87,-3.2882721424102783,1.4736627340316772,7
5,29,88,-3.275228500366211,1.4740347862243652,7
5,29,89,-3.2621848583221436,1.4732060432434082,7
5,29,90,-3.249141216278076,1.4721360206604004,7
5,29,91,-3.2366456985473633,1.4710659980773926,7
5,29,92,-3.2242462635040283,1.4699958562850952,7
5,29,93,-3.2118465900421143,1.4723650217056274,7
5,29,94,-3.1994471549987793,1.4749162197113037,7
5,29,95,-3.1870477199554443,1.47746741771698,7
5,29,96,-3.1746480464935303,1.4800187349319458,7
5,29,97,-3.1622486114501953,1.482569932937622,7
5,29,98,-3.1498489379882812,1.485121250152588,7
5,29,99,-3.1374495029449463,1.4876724481582642,7
6,33,0,-4.200949192047119,-0.02388201281428337,12
6,33,1,-4.200857162475586,-0.023229476064443588,12
6,33,2,-4.200709342956543,-0.022756505757570267,12
6,33,3,-4.2005615234375,-0.022636115550994873,12
6,33,4,-4.200413703918457,-0.02251572534441948,12
6,33,5,-4.200266361236572,-0.022395337000489235,12
6,33,6,-4.2001190185546875,-0.022297028452157974,12
6,33,7,-4.199970722198486,-0.02264045551419258,12
6,33,8,-4.201678276062012,-0.02264046110212803,12
6,33,9,-4.206145286560059,-0.022487400099635124,12
6,33,10,-4.193922996520996,-0.02233434095978737,12
6,33,11,-4.181700706481934,-0.022330962121486664,12
6,33,12,-4.181997299194336,-0.022853003814816475,12
6,33,13,-4.179439544677734,-0.023375047370791435,12
6,33,14,-4.1780781745910645,-0.023792661726474762,12
6,33,15,-4.164745330810547,-0.024197358638048172,12
6,33,16,-4.151412487030029,-0.024602055549621582,12
6,33,17,-4.148592948913574,-0.02468174695968628,12
6,33,18,-4.148752212524414,-0.02441234327852726,12
6,33,19,-4.149971961975098,-0.02414293959736824,12
6,33,20,-4.151192665100098,-0.02387353405356407,12
6,33,21,-4.1524128913879395,-0.023723389953374863,12
6,33,22,-4.153633117675781,-0.023453250527381897,12
6,33,23,-4.142681121826172,-0.02318311110138893,12
6,33,24,-4.129504680633545,-0.022912969812750816,12
6,33,25,-4.116326332092285,-0.0226428285241127,12
6,33,26,-4.103147506713867,-0.022372689098119736,12
6,33,27,-4.089969158172607,-0.02229924499988556,12
6,33,28,-4.077284336090088,-0.02313263900578022,12
6,33,29,-4.064633369445801,-0.024156026542186737,12
6,33,30,-4.051982879638672,-0.025179415941238403,12
6,33,31,-4.039331912994385,-0.025188075378537178,12
6,33,32,-4.026681900024414,-0.024938007816672325,12
6,33,33,-4.014031410217285,-0.024687938392162323,12
6,33,34,-4.0013813972473145,-0.02443787083029747,12
6,33,35,-3.9887309074401855,-0.024187803268432617,12
6,33,36,-3.976080894470215,-0.023937735706567764,12
6,33,37,-3.963430643081665,-0.02368766814470291,12
6,33,38,-3.9507174491882324,-0.02343760058283806,12
6,33,39,-3.9379982948303223,-0.023140599951148033,12
6,33,40,-3.925279140472412,-0.02279689535498619,12
6,33,41,-3.912559986114502,-0.0224531888961792,12
6,33,42,-3.899840831756592,-0.022109482437372208,12
6,33,43,-3.8871216773986816,-0.021765775978565216,12
6,33,44,-3.8744025230407715,-0.021422069519758224,12
6,33,45,-3.8616833686828613,-0.021078364923596382,12
6,33,46,-3.848964214324951,-0.02073465846478939,12
6,33,47,-3.836245059967041,-0.020406797528266907,12
6,33,48,-3.823525905609131,-0.020089907571673393,12
6,33,49,-3.8108069896698,-0.01977301761507988,12
6,33,50,-3.7980878353118896,-0.019456125795841217,12
6,33,51,-3.7853684425354004,-0.019139233976602554,12
6,33,52,-3.7726495265960693,-0.01882234215736389,12
6,33,53,-3.759930372238159,-0.018505452200770378,12
6,33,54,-3.747211217880249,-0.018188562244176865,12
6,33,55,-3.734492063522339,-0.017871670424938202,12
6,33,56,-3.721773147583008,-0.01755477860569954,12
6,33,57,-3.7090563774108887,-0.017237886786460876,12
6,33,58,-3.6963391304016113,-0.016920996829867363,12
6,33,59,-3.683622360229492,-0.01660410687327385,12
6,33,60,-3.670912265777588,-0.016287215054035187,12
6,33,61,-3.6582021713256836,-0.015970323234796524,12
6,33,62,-3.6456127166748047,-0.01565343327820301,12
6,33,63,-3.6332826614379883,-0.015341227874159813,12
6,33,64,-3.6209514141082764,-0.015090552158653736,12
6,33,65,-3.608618974685669,-0.01488172821700573,12
6,33,66,-3.5962865352630615,-0.01467290148139,12
6,33,67,-3.583954095840454,-0.014464077539741993,12
6,33,68,-3.571621894836426,-0.014255251735448837,12
6,33,69,-3.5592894554138184,-0.014046426862478256,12
6,33,70,-3.546957015991211,-0.01383760292083025,12
6,33,71,-3.5346243381500244,-0.013628777116537094,12
6,33,72,-3.522292137145996,-0.013419952243566513,12
6,33,73,-3.5099339485168457,-0.013211127370595932,12
6,33,74,-3.495851755142212,-0.013002302497625351,12
6,33,75,-3.4817698001861572,-0.01279347762465477,12
6,33,76,-3.4676876068115234,-0.012584652751684189,12
6,33,77,-3.4536056518554688,-0.012375827878713608,12
6,33,78,-3.439523696899414,-0.012167002074420452,12
6,33,79,-3.4254417419433594,-0.011958178132772446,12
6,33,80,-3.4113595485687256,-0.011749353259801865,12
6,33,81,-3.397277593612671,-0.011540527455508709,12
6,33,82,-3.383195400238037,-0.011331703513860703,12
6,33,83,-3.3691134452819824,-0.011122877709567547,12
6,33,84,-3.3550314903259277,-0.010874203406274319,12
6,33,85,-3.3409512042999268,-0.010329065844416618,12
6,33,86,-3.326871156692505,-0.009771342389285564,12
6,33,87,-3.312791109085083,-0.00921361893415451,12
6,33,88,-3.298711061477661,-0.008655895479023457,12
6,33,89,-3.2846407890319824,-0.008098172023892403,12
6,33,90,-3.2705812454223633,-0.007540448568761349,12
6,33,91,-3.2565219402313232,-0.006982725113630295,12
6,33,92,-3.242462396621704,-0.006425002124160528,12
6,33,93,-3.228403091430664,-0.005867278669029474,12
6,33,94,-3.214343547821045,-0.005309555679559708,12
6,33,95,-3.200284242630005,-0.004751832224428654,12
6,33,96,-3.186224937438965,-0.004194109234958887,12
6,33,97,-3.1721653938293457,-0.003636385779827833,12
6,33,98,-3.1581058502197266,-0.0030786623246967793,12
6,33,99,-3.1440467834472656,-0.002520939102396369,12
7,1,0,-3.44490122795105,19.186845779418945,7
7,1,1,-3.445549249649048,19.228090286254883,7
7,1,2,-3.446197509765625,19.26933479309082,7
7,1,3,-3.446845531463623,19.310579299926758,7
7,1,4,-3.4474937915802,19.351823806762695,7
7,1,5,-3.4481418132781982,19.393068313598633,7
7,1,6,-3.4487900733947754,19.43431282043457,7
7,1,7,-3.449535369873047,19.475557327270508,7
7,1,8,-3.4505879878997803,19.511613845825195,7
7,1,9,-3.450984477996826,19.533918380737305,7
7,1,10,-3.4516377449035645,19.556222915649414,7
7,1,11,-3.452498197555542,19.578529357910156,7
7,1,12,-3.4533588886260986,19.600833892822266,7
7,1,13,-3.454219341278076,19.623130798339844,7
7,1,14,-3.455080032348633,19.645401000976562,7
7,1,15,-3.456275701522827,19.667673110961914,7
7,1,16,-3.456256628036499,19.689945220947266,7
7,1,17,-3.4571046829223633,19.712217330932617,7
7,1,18,-3.4585206508636475,19.734487533569336,7
7,1,19,-3.4599366188049316,19.756759643554688,7
7,1,20,-3.461352586746216,19.77903175354004,7
7,1,21,-3.4627685546875,19.801301956176758,7
