t_global_s,edge_idx,u,v,tau,delta_frac,frac,x,y,edge_distance,slowdown_idx,t_pred_s,e_pred_J,e_cum_J,ref_speed,ref_power_W,step_dist_m,Speed,accel_mps2
42,4,23,20,0.8181818127632141,0.11669627577066422,0.749801117926836,-2.6166673566488914,10.672550002960161,3.1761534214019775,0.0,3.1761534214019775,3.1761534214019775,11.82701631567695,0.2974536903225806,0.0,0.2999999999999993,0.2999999999999993,-1.3322676295501878e-15
43,4,23,20,0.9090909361839294,0.12309346348047256,0.8728945814073086,-2.612433875992317,10.972520130875477,3.1761534214019775,0.0,3.1761534214019775,3.1761534214019775,12.115757535804402,0.29796961875,0.0,0.3000000000000008,0.3000000000000008,1.4988010832439613e-15
44,4,23,20,1.0,0.12710541486740112,1.0,-2.6090352231595983,11.272500878855947,3.1761534214019775,0.0,3.1761534214019775,3.1761534214019775,12.404498755931854,0.29842160625,0.0,0.2999999999999995,0.2999999999999995,-1.3322676295501878e-15
45,5,20,22,0.25,0.23718500137329102,0.23718500137329102,-2.6576185770373835,11.568540838533666,0.9209777116775513,0.0,0.9209777116775513,0.9209777116775513,12.634743183851242,0.2990867741935484,0.0,0.2999999999999993,0.2999999999999993,-1.6653345369377348e-16
46,5,20,22,0.5,0.24412178993225098,0.481306791305542,-2.7555196568388953,11.852116892836031,0.9209777116775513,0.0,0.9209777116775513,0.9209777116775513,12.86498761177063,0.2982908387096774,0.0,0.30000000000000004,0.30000000000000004,7.216449660063518e-16
47,5,20,22,0.75,0.25662627816200256,0.7379330694675446,-2.895884575630614,12.11725400750049,0.9209777116775513,0.0,0.9209777116775513,0.9209777116775513,13.095232039690018,0.298248815625,0.0,0.30000000000000004,0.30000000000000004,0.0
48,5,20,22,1.0,0.26206693053245544,1.0,-3.067979828823427,12.362983989042226,0.9209777116775513,0.0,0.9209777116775513,0.9209777116775513,13.325476467609406,0.2985146625,0.0,0.3000000000000004,0.3000000000000004,3.3306690738754696e-16
49,6,22,19,0.05882352963089943,0.02994101494550705,0.02994101494550705,-3.2027351056479074,12.63101573225179,5.032394886016846,0.0,5.032394886016846,5.032394886016846,13.621499696198631,0.29539049375,0.0,0.2999999999999998,0.2999999999999998,-5.551115123125783e-16
50,6,22,19,0.11764705926179886,0.025224950164556503,0.05516596511006355,-3.2942920486280296,12.916703194686063,5.032394886016846,0.0,5.032394886016846,5.032394886016846,13.917522924787857,0.212876729032258,0.0,0.2999999999999995,0.2999999999999995,-3.3306690738754696e-16
51,6,22,19,0.1764705926179886,0.021504731848835945,0.0766706969588995,-3.2976670265197754,13.01428508758545,5.032394886016846,0.0,5.032394886016846,5.032394886016846,14.213546153377083,0.1475556375,0.0,0.0976402391311957,0.0976402391311957,-0.2023597608688038
52,6,22,19,0.23529411852359772,0.0246437955647707,0.1013144925236702,-3.300131320953369,13.121731758117676,5.032394886016846,0.0,5.032394886016846,5.032394886016846,14.509569381966308,0.1565427,0.0,0.10747492617125301,0.10747492617125301,0.009834687040057313
53,6,22,19,0.29411765933036804,0.028354240581393242,0.12966873310506344,-3.302967071533203,13.245355606079102,5.032394886016846,0.0,5.032394886016846,5.032394886016846,14.805592610555534,0.168348284375,0.0,0.12365636767324498,0.12365636767324498,0.016181441501991967
54,6,22,19,0.3529411852359772,0.027165967971086502,0.15683470107614994,-3.3056833744049072,13.363799095153809,5.032394886016846,0.0,5.032394886016846,5.032394886016846,15.10161583914476,0.1359847258064516,0.0,0.11847463190692374,0.11847463190692374,-0.0051817357663212354
55,6,22,19,0.4117647111415863,0.04491758719086647,0.2017522882670164,-3.3101749420166016,13.559640884399414,5.032394886016846,0.0,5.032394886016846,5.032394886016846,15.397639067733985,0.2578867,0.0,0.19589328879400278,0.19589328879400278,0.07741865688707904
56,6,22,19,0.47058823704719543,0.051288798451423645,0.25304108671844006,-3.3153040409088135,13.783260345458984,5.032394886016846,0.0,5.032394886016846,5.032394886016846,15.693662296323211,0.2713382322580645,0.0,0.22367827569976206,0.22367827569976206,0.027784986905759285
57,6,22,19,0.529411792755127,0.06176326796412468,0.31480435468256474,-3.3214802742004395,14.052547454833984,5.032394886016846,0.0,5.032394886016846,5.032394886016846,15.989685524912437,0.29660026875,0.0,0.2693579275484867,0.2693579275484867,0.045679651848724634
58,6,22,19,0.5882353186607361,0.06739286333322525,0.38219721801579,-3.3282198905944824,14.346380233764648,5.032394886016846,0.0,5.032394886016846,5.032394886016846,16.285708753501662,0.29746444375,0.0,0.29391006175912954,0.29391006175912954,0.02455213421064284
59,6,22,19,0.6470588445663452,0.07309412956237793,0.4552913475781679,-3.33509881956296,14.646301357289229,5.032394886016846,0.0,5.032394886016846,5.032394886016846,16.58173198209089,0.296534235483871,0.0,0.29999999999999977,0.29999999999999977,0.00608993824087023
60,6,22,19,0.7058823704719543,0.07966452091932297,0.5349558684974909,-3.3419776138879556,14.946222483901934,5.032394886016846,0.0,5.032394886016846,5.032394886016846,16.877755210680117,0.2973979406249999,0.0,0.3000000000000002,0.3000000000000002,4.440892098500626e-16
61,6,22,19,0.7647058963775635,0.08596038818359375,0.6209162566810846,-3.348856615798662,15.246143605753518,5.032394886016846,0.0,5.032394886016846,5.032394886016846,17.173778439269345,0.298355165625,0.0,0.3000000000000006,0.3000000000000006,3.885780586188048e-16
62,6,22,19,0.8235294222831726,0.09115903824567795,0.7120752949267626,-3.355735579099949,15.546064728490647,5.032394886016846,0.0,5.032394886016846,5.032394886016846,17.469801667858572,0.29828866875,0.0,0.3000000000000001,0.3000000000000001,-4.996003610813204e-16
63,6,22,19,0.8823529481887817,0.0959748849272728,0.8080501798540354,-3.362614335291694,15.845985855977949,5.032394886016846,0.0,5.032394886016846,5.032394886016846,17.7658248964478,0.2986750516129032,0.0,0.2999999999999998,0.2999999999999998,-2.7755575615628914e-16
64,6,22,19,0.9411764740943909,0.0959748849272728,0.9040250647813082,-3.3694932873166934,16.14590697897371,5.032394886016846,0.0,5.032394886016846,5.032394886016846,18.061848125037027,0.2992858,0.0,0.30000000000000066,0.30000000000000066,8.326672684688674e-16
65,6,22,19,1.0,0.0959748849272728,1.0,-3.3763722376252274,16.44582810200884,5.032394886016846,0.0,5.032394886016846,5.032394886016846,18.357871353626255,0.2990731,0.0,0.30000000000000143,0.30000000000000143,7.771561172376096e-16
66,7,19,17,0.5,0.48001137375831604,0.48001137375831604,-3.382922602930651,16.74575658134077,0.5200961232185364,0.0,0.5200961232185364,0.5200961232185364,18.617919415235523,0.298953415625,0.0,0.2999999999999993,0.2999999999999993,-2.1094237467877974e-15
67,7,19,17,1.0,0.5199886560440063,1.0,-3.389213258184427,17.045690620183443,0.5200961232185364,0.0,0.5200961232185364,0.5200961232185364,18.87796747684479,0.2985515967741936,0.0,0.29999999999999855,0.29999999999999855,-7.771561172376096e-16
68,8,17,10,0.5,0.4799368381500244,0.4799368381500244,-3.3965274811953656,17.34560144383232,0.40302029252052307,0.0,0.40302029252052307,0.40302029252052307,19.079477623105053,0.2982222,0.0,0.3000000000000015,0.3000000000000015,2.942091015256665e-15
69,8,17,10,1.0,0.5200632214546204,1.0,-3.4050438542464154,17.645480538452226,0.40302029252052307,0.0,0.40302029252052307,0.40302029252052307,19.280987769365314,0.2990593516129032,0.0,0.2999999999999999,0.2999999999999999,-1.609823385706477e-15
70,9,10,9,0.5,0.479307621717453,0.479307621717453,-3.3010079158680017,17.926863770940805,0.3252691328525543,0.0,0.3252691328525543,0.3252691328525543,19.44362233579159,0.298767290625,0.0,0.29999999999999843,0.29999999999999843,-1.4432899320127035e-15
71,9,10,9,1.0,0.5206924080848694,1.0,-3.180000066757202,18.049999237060547,0.3252691328525543,0.0,0.3252691328525543,0.3252691328525543,19.60625690221787,0.29932568125,0.0,0.17264194902441302,0.17264194902441302,-0.12735805097558542
