u_node_id,v_node_id,edge_distance,time_s,energy_J,model,pred_time_s,pred_energy_J
27,31,0.6600757241249084,6.0,454.50312500001746,XGBoost,4.750087261199951,358.8818664550781
33,6,1.2208967208862305,6.0,452.30000000001746,XGBoost,6.012361526489258,462.0684814453125
23,20,3.1761534214019775,6.0,468.0387096774357,XGBoost,5.869027137756348,453.7087097167969
20,21,0.9051191210746764,6.0,459.171875,XGBoost,5.952595233917236,452.88580322265625
12,11,0.6000833511352539,5.0,390.6175403225934,XGBoost,5.00557804107666,385.83099365234375
9,7,0.3465544581413269,5.0,390.6571572580724,XGBoost,5.488082408905029,422.9864807128906
26,29,0.4390899538993835,6.0,461.9843750000291,XGBoost,5.302271366119385,407.05145263671875
34,33,0.5456188917160034,6.0,463.0000946969667,XGBoost,5.263566493988037,406.5689697265625
33,6,1.2208967208862305,6.0,461.31562500001746,XGBoost,6.012361526489258,462.0684814453125
27,31,0.6600757241249084,6.0,463.12258064519847,XGBoost,4.750087261199951,358.8818664550781
33,6,1.2208967208862305,6.0,450.2921370968106,XGBoost,6.012361526489258,462.0684814453125
23,20,3.1761534214019775,6.0,464.7911290322081,XGBoost,5.869027137756348,453.7087097167969
22,19,5.032394886016846,6.0,470.2032258064719,XGBoost,5.979733467102051,465.05035400390625
33,6,1.2208967208862305,6.0,450.1314516128623,XGBoost,6.012361526489258,462.0684814453125
23,20,3.1761534214019775,6.0,461.3861895161099,XGBoost,5.869027137756348,453.7087097167969
20,21,0.9051191210746764,6.0,452.5531249999767,XGBoost,5.952595233917236,452.88580322265625
13,11,0.5543110370635986,4.0,306.9289314515772,XGBoost,4.967635631561279,383.0054016113281
9,13,0.6603029370307922,5.0,383.1875,XGBoost,5.032420635223389,388.107421875
13,11,0.5543110370635986,6.0,460.4565524193458,XGBoost,4.967635631561279,383.0054016113281
34,33,0.5456188917160034,5.0,381.9156249999651,XGBoost,5.263566493988037,406.5689697265625
33,6,1.2208967208862305,6.0,455.09223790321266,XGBoost,6.012361526489258,462.0684814453125
23,20,3.1761534214019775,6.0,461.5750000000117,XGBoost,5.869027137756348,453.7087097167969
20,21,0.9051191210746764,6.0,451.61088709678734,XGBoost,5.952595233917236,452.88580322265625
13,11,0.5543110370635986,4.0,301.11755952384556,XGBoost,4.967635631561279,383.0054016113281
26,29,0.4390899538993835,6.0,454.71875,XGBoost,5.302271366119385,407.05145263671875
26,29,0.4390899538993835,6.0,465.94798387098126,LightGBM,5.0773443522130846,393.25777292522554
34,33,0.5456188917160034,5.0,387.49545454545296,LightGBM,5.1333220792389,389.37060732329314
33,6,1.2208967208862305,6.0,462.23195564516936,LightGBM,6.0534509364326325,459.4170908044989
27,31,0.6600757241249084,6.0,454.50312500001746,LightGBM,4.920476262506939,374.4388245608253
33,6,1.2208967208862305,6.0,452.30000000001746,LightGBM,6.0534509364326325,459.4170908044989
23,20,3.1761534214019775,6.0,468.0387096774357,LightGBM,5.914449081508086,457.87097604412287
20,21,0.9051191210746764,6.0,459.171875,LightGBM,5.894181055658206,451.15535916913086
12,11,0.6000833511352539,5.0,390.6175403225934,LightGBM,4.701616416954996,357.07864495585596
9,7,0.3465544581413269,5.0,390.6571572580724,LightGBM,5.021473853671933,381.7669991890116
26,29,0.4390899538993835,6.0,461.9843750000291,LightGBM,5.0773443522130846,393.25777292522554
34,33,0.5456188917160034,6.0,463.0000946969667,LightGBM,5.1333220792389,389.37060732329314
33,6,1.2208967208862305,6.0,461.31562500001746,LightGBM,6.0534509364326325,459.4170908044989
27,31,0.6600757241249084,6.0,463.12258064519847,LightGBM,4.920476262506939,374.4388245608253
33,6,1.2208967208862305,6.0,450.2921370968106,LightGBM,6.0534509364326325,459.4170908044989
23,20,3.1761534214019775,6.0,464.7911290322081,LightGBM,5.914449081508086,457.87097604412287
22,19,5.032394886016846,6.0,470.2032258064719,LightGBM,5.859445751958721,456.1095475219631
33,6,1.2208967208862305,6.0,450.1314516128623,LightGBM,6.0534509364326325,459.4170908044989
23,20,3.1761534214019775,6.0,461.3861895161099,LightGBM,5.914449081508086,457.87097604412287
20,21,0.9051191210746764,6.0,452.5531249999767,LightGBM,5.894181055658206,451.15535916913086
13,11,0.5543110370635986,4.0,306.9289314515772,LightGBM,4.990194118712217,374.77706414649174
9,13,0.6603029370307922,5.0,383.1875,LightGBM,4.859817819470567,374.36916585896677
13,11,0.5543110370635986,6.0,460.4565524193458,LightGBM,4.990194118712217,374.77706414649174
34,33,0.5456188917160034,5.0,381.9156249999651,LightGBM,5.1333220792389,389.37060732329314
33,6,1.2208967208862305,6.0,455.09223790321266,LightGBM,6.0534509364326325,459.4170908044989
23,20,3.1761534214019775,6.0,461.5750000000117,LightGBM,5.914449081508086,457.87097604412287
20,21,0.9051191210746764,6.0,451.61088709678734,LightGBM,5.894181055658206,451.15535916913086
13,11,0.5543110370635986,4.0,301.11755952384556,LightGBM,4.990194118712217,374.77706414649174
26,29,0.4390899538993835,6.0,454.71875,LightGBM,5.0773443522130846,393.25777292522554
