start_node,goal_node,mission,goal_is_operation_node,alpha,route_nodes,n_edges,scalar_cost,total_pred_time_s,total_pred_energy_J
1,28,1->28,0,1.0,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 28,12,6.219724569593561,63.733981132507324,4897.823760986328
1,29,1->29,0,0.0,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 29,10,6.273446919694551,54.59630823135376,4197.768615722656
1,29,1->29,0,0.25,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 25 -> 26 -> 29,10,6.276209480120732,54.59630823135376,4197.768615722656
1,29,1->29,0,0.5,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 29,12,6.278205610799644,63.80835962295532,4903.569396972656
1,29,1->29,0,0.75,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 29,12,6.2765539403979345,63.80835962295532,4903.569396972656
1,29,1->29,0,1.0,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 25 -> 26 -> 29,12,6.274902269996225,63.80835962295532,4903.569396972656
1,30,1->30,0,0.0,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 24 -> 30,9,5.460481281460313,48.888558864593506,3758.076141357422
1,30,1->30,0,0.25,1 -> 7 -> 10 -> 17 -> 19 -> 22 -> 20 -> 23 -> 24 -> 30,9,5.46335612261549,48.888558864593506,3758.076141357422
1,30,1->30,0,0.5,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 24 -> 30,11,5.465464534023397,58.10061025619507,4463.876922607422
1,30,1->30,0,0.75,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 24 -> 30,11,5.463925144350683,58.10061025619507,4463.876922607422
1,30,1->30,0,1.0,1 -> 7 -> 10 -> 17 -> 16 -> 15 -> 14 -> 21 -> 20 -> 23 -> 24 -> 30,11,5.462385754677969,58.10061025619507,4463.876922607422
