t_sec,timestamp_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Cumulative energy consumption,Heading,Position confidence,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,Battery value,Going to ID,Current segment,Target reached,step_energy,energy_cum_from_start
1415,11:31:12,-3.016854612903226,0.6762213,0.0,216.61290322580646,5322.419354838709,298107.5741935484,1.619363,90.74193548387096,0.0,0.0,45.0,5,20,0,60.2023185484577,99402.18044354842
1416,11:31:13,-3.016603,0.6762213,0.0,216.5,5319.625,298165.828125,1.619363,90.875,0.0,0.0,45.0,5,20,0,58.25393145158887,99460.43437500001
1417,11:31:14,-3.016724875,0.6762213,0.0,216.75,5325.8125,298225.46249999997,1.619363,91.375,0.0,0.0,45.0,5,20,0,59.634374999965075,99520.06874999998
1418,11:31:15,-3.01863425,0.6762213,0.0,217.0625,5333.375,298287.18125,1.619363,89.875,0.0,0.0,45.0,5,65535,0,61.71875000005821,99581.78750000003
1419,11:31:16,-3.0185739677419354,0.6762213,0.0,219.58064516129033,5397.8387096774195,298347.2322580645,1.619363,89.0,0.0,0.0,45.0,5,20,0,60.051008064474445,99641.83850806451
1420,11:31:17,-3.017903,0.6750838,0.0,218.21875,5354.03125,298409.225,1.619363,90.40625,0.0,0.0,45.0,5,20,0,61.99274193547899,99703.83124999999
1421,11:31:18,-3.02617965625,0.5563720109375,0.0,217.5,5343.53125,298469.70625,1.619363,32.15625,0.0,0.0,45.0,5,20,0,60.48125000001164,99764.3125
1422,11:31:19,-3.00861178125,0.59994076875,0.0,217.0625,5333.3125,298529.7375,1.6188176875,64.71875,0.0,0.0,45.0,5,20,0,60.03125,99824.34375
1423,11:31:20,-2.988021,0.586457175,0.0,216.75,5325.8125,298589.803125,1.3675256875000001,21.25,0.0,0.0,45.0,5,20,0,60.06562499998836,99884.40937499999
1424,11:31:21,-2.988021,0.5861728,0.0,216.61290322580646,5319.129032258064,298648.98387096776,1.5592862903225806,24.129032258064516,0.0,0.0,45.0,5,20,0,59.18074596778024,99943.59012096777
