t_global_s,edge_idx,u,v,tau,delta_frac,frac,x,y,edge_distance,slowdown_idx,t_pred_s,e_pred_J,e_cum_J,step_dist_m,Speed,accel_mps2
12,2,26,25,0.3333333432674408,0.14769908785820007,0.29539817571640015,-3.0520599774074424,2.397871120003825,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,975.0490417480466,0.2740019078331792,0.2740019078331792,0.0
13,2,26,25,0.5,0.14769908785820007,0.4430972635746002,-3.058090014850185,2.671806667431794,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,1050.299880981445,0.274001907833179,0.274001907833179,-1.6653345369377348e-16
14,2,26,25,0.6666666865348816,0.1614198535680771,0.6045171171426773,-3.0641200454794797,2.9457422150097448,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,1125.5507202148435,0.2740019078331791,0.2740019078331791,1.1102230246251565e-16
15,2,26,25,0.8333333134651184,0.2104247659444809,0.8149418830871582,-3.070150075577054,3.2196777625994,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,1200.801559448242,0.27400190783317896,0.27400190783317896,-1.6653345369377348e-16
16,2,26,25,1.0,0.1850581169128418,1.0,-3.0761801104752995,3.49361331008338,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,1276.0523986816404,0.2740019078331792,0.2740019078331792,2.220446049250313e-16
17,3,25,23,0.1666666716337204,0.11336396634578705,0.11336396634578705,-3.0782380406352283,3.738521866339092,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1350.2412312825518,0.24491720234356817,0.24491720234356817,-0.029084705489611007
18,3,25,23,0.3333333432674408,0.14940908551216125,0.2627730518579483,-3.0758555614312892,3.983427480396106,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1424.4300638834632,0.24491720234356795,0.24491720234356795,-2.220446049250313e-16
19,3,25,23,0.5,0.1764516979455948,0.4392247498035431,-3.068227998982528,4.228225879685992,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1498.6188964843745,0.24491720234356784,0.24491720234356784,-1.1102230246251565e-16
20,3,25,23,0.6666666865348816,0.2115859091281891,0.6508106589317322,-3.05438483312898,4.472751548610446,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1572.807729085286,0.24491720234356854,0.24491720234356854,6.938893903907228e-16
21,3,25,23,0.8333333134651184,0.19743624329566956,0.8482469022274017,-3.0348423560302877,4.716887837581683,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1646.9965616861973,0.2449172023435683,0.2449172023435683,-2.220446049250313e-16
22,3,25,23,1.0,0.15175309777259827,1.0,-3.01095504639056,4.960637365667331,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1721.1853942871087,0.24491720234356854,0.24491720234356854,2.220446049250313e-16
23,4,23,20,0.1666666716337204,0.13715705275535583,0.13715705275535583,-2.9843743963433,5.258872003834844,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,1793.6433258056634,0.29941681709590395,0.29941681709590395,0.05449961475233542
24,4,23,20,0.3333333432674408,0.13715705275535583,0.27431410551071167,-2.960099433905103,5.557303162661241,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,1866.101257324218,0.2994168170959043,0.2994168170959043,3.3306690738754696e-16
25,4,23,20,0.5,0.1669580340385437,0.44127213954925537,-2.9382530649323813,5.855921927179732,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,1938.5591888427728,0.299416817095904,0.299416817095904,-2.7755575615628914e-16
26,4,23,20,0.6666666865348816,0.21595394611358643,0.6572260856628418,-2.919005630006901,6.154719461655221,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,2011.0171203613274,0.2994168170959035,0.2994168170959035,-4.996003610813204e-16
27,4,23,20,0.8333333134651184,0.20133285224437714,0.8585589379072189,-2.9017401295931626,6.4536380673914735,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,2083.475051879882,0.2994168170959041,0.2994168170959041,6.106226635438361e-16
28,4,23,20,1.0,0.14144104719161987,1.0,-2.885677062807913,6.752623699563481,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,2155.9329833984366,0.2994168170959043,0.2994168170959043,1.6653345369377348e-16
29,5,20,22,0.1666666716337204,0.11703477799892426,0.11703477799892426,-2.876654488500636,6.989885829158511,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2229.168355305989,0.2374336222759936,0.2374336222759936,-0.061983194819910686
30,5,20,22,0.3333333432674408,0.15179632604122162,0.2688311040401459,-2.8725276709885357,7.227283584759361,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2302.403727213541,0.23743362227599332,0.23743362227599332,-2.7755575615628914e-16
31,5,20,22,0.5,0.17696544528007507,0.44579654932022095,-2.8741557431831932,7.464711625159032,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2375.6390991210933,0.23743362227599338,0.23743362227599338,5.551115123125783e-17
32,5,20,22,0.6666666865348816,0.21217171847820282,0.6579682677984238,-2.8826790247082164,7.7019922157246,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2448.8744710286455,0.23743362227599352,0.23743362227599352,1.3877787807814457e-16
33,5,20,22,0.8333333134651184,0.19320763647556305,0.8511759042739868,-2.8974501610329217,7.938965924221505,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2522.1098429361978,0.2374336222759939,0.2374336222759939,3.885780586188048e-16
34,5,20,22,1.0,0.1488240659236908,1.0,-2.9170422293784486,8.17558983646421,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2595.34521484375,0.23743362227599366,0.23743362227599366,-2.498001805406602e-16
35,6,22,19,0.1666666716337204,0.13105463981628418,0.13105463981628418,-2.939730209155491,8.473882652147342,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,2670.260828653971,0.2991543887602759,0.2991543887602759,0.061720766484282236
36,6,22,19,0.3333333432674408,0.13105463981628418,0.26210927963256836,-2.9607340824587998,8.77229878043265,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,2745.1764424641924,0.2991543887602761,0.2991543887602761,2.220446049250313e-16
37,6,22,19,0.5,0.13105463981628418,0.39316391944885254,-2.980305211636387,9.070812296403448,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,2820.0920562744136,0.2991543887602752,0.2991543887602752,-8.881784197001252e-16
38,6,22,19,0.6666666865348816,0.17522266507148743,0.56838658452034,-2.998285406418141,9.369425860914747,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,2895.007670084635,0.2991543887602751,0.2991543887602751,-1.1102230246251565e-16
39,6,22,19,0.8333333134651184,0.22513434290885925,0.7935209274291992,-3.0146568422531046,9.668131944554228,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,2969.923283894856,0.2991543887602764,0.2991543887602764,1.27675647831893e-15
40,6,22,19,1.0,0.20647907257080078,1.0,-3.0298687678239284,9.966899321680582,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,3044.838897705077,0.2991543887602751,0.2991543887602751,-1.27675647831893e-15
41,7,19,17,0.20000000298023224,0.14985769987106323,0.14985769987106323,-3.0437074576143264,10.240551539214275,0.5200961232185364,0.21665076805684078,4.93526554107666,380.0875549316406,3120.8564086914052,0.2740019078331797,0.2740019078331797,-0.025152480927095433
42,7,19,17,0.4000000059604645,0.187412828207016,0.3372705280780792,-3.057426624633138,10.514209774888869,0.5200961232185364,0.21665076805684078,4.93526554107666,380.0875549316406,3196.8739196777333,0.27400190783317835,0.27400190783317835,-1.3322676295501878e-15
43,7,19,17,0.6000000238418579,0.22175587713718414,0.5590264052152634,-3.071003078019145,10.787875127846965,0.5200961232185364,0.21665076805684078,4.93526554107666,380.0875549316406,3272.8914306640613,0.27400190783317846,0.27400190783317846,1.1102230246251565e-16
44,7,19,17,0.800000011920929,0.24083110690116882,0.7998575121164322,-3.084423770909834,11.0615481636005,0.5200961232185364,0.21665076805684078,4.93526554107666,380.0875549316406,3348.9089416503894,0.27400190783317957,0.27400190783317957,1.1102230246251565e-15
45,7,19,17,1.0,0.200142502784729,1.0,-3.0977141279372917,11.335227559803986,0.5200961232185364,0.21665076805684078,4.93526554107666,380.0875549316406,3424.9264526367174,0.2740019078331787,0.2740019078331787,-8.881784197001252e-16
46,8,17,10,0.20000000298023224,0.17235097289085388,0.17235097289085388,-3.110984764714302,11.608907912945666,0.40302029252052307,0.21665076805684078,4.612492561340332,352.4678955078125,3495.4200317382797,0.2740019078331792,0.2740019078331792,4.996003610813204e-16
47,8,17,10,0.4000000059604645,0.20254066586494446,0.37489163875579834,-3.124231573428523,11.88258942045962,0.40302029252052307,0.21665076805684078,4.612492561340332,352.4678955078125,3565.913610839842,0.27400190783317874,0.27400190783317874,-4.440892098500626e-16
48,8,17,10,0.6000000238418579,0.22330990433692932,0.5982015430927277,-3.1374513590466226,12.156272234615777,0.40302029252052307,0.21665076805684078,4.612492561340332,352.4678955078125,3636.4071899414043,0.274001907833179,0.274001907833179,2.7755575615628914e-16
49,8,17,10,0.800000011920929,0.21841473877429962,0.8166162818670273,-3.15064397280098,12.42995635991089,0.40302029252052307,0.21665076805684078,4.612492561340332,352.4678955078125,3706.9007690429667,0.27400190783317985,0.27400190783317985,8.326672684688674e-16
50,8,17,10,1.0,0.1833837479352951,1.0,-3.1638130589107747,12.70364161831414,0.40302029252052307,0.21665076805684078,4.612492561340332,352.4678955078125,3777.394348144529,0.27400190783317835,0.27400190783317835,-1.4988010832439613e-15
51,9,10,9,0.20000000298023224,0.15659458935260773,0.15659458935260773,-3.1749805738939347,12.977415853963375,0.3252691328525543,0.21665076805684078,4.622021198272705,353.1697082519531,3848.0282897949196,0.27400190783317885,0.27400190783317885,4.996003610813204e-16
52,9,10,9,0.4000000059604645,0.18875177204608917,0.3453463613986969,-3.1836377437289185,13.251280964750913,0.3252691328525543,0.21665076805684078,4.622021198272705,353.1697082519531,3918.66223144531,0.27400190783317957,0.27400190783317957,7.216449660063518e-16
53,9,10,9,0.6000000238418579,0.2186838984489441,0.564030259847641,-3.189272111042022,13.52522493603191,0.3252691328525543,0.21665076805684078,4.622021198272705,353.1697082519531,3989.296173095701,0.2740019078331795,0.2740019078331795,-5.551115123125783e-17
54,9,10,9,0.800000011920929,0.23486287891864777,0.7988931387662888,-3.191534678231888,13.799217502146272,0.3252691328525543,0.21665076805684078,4.622021198272705,353.1697082519531,4059.9301147460915,0.27400190783317885,0.27400190783317885,-6.661338147750939e-16
55,9,10,9,1.0,0.20110687613487244,1.0,-3.1907911693642084,14.073218401215573,0.3252691328525543,0.21665076805684078,4.622021198272705,353.1697082519531,4130.564056396483,0.2740019078331791,0.2740019078331791,2.7755575615628914e-16
