t_global_s,edge_idx,u,v,tau,delta_frac,frac,x,y,edge_distance,slowdown_idx,t_pred_s,e_pred_J,e_cum_J,ref_speed,ref_power_W,step_dist_m,Speed,accel_mps2
13,2,26,25,0.5,0.15802623331546783,0.32311221957206726,-3.0580899918830333,2.6718066679373456,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,1050.299880981445,0.298554559375,0.0,0.27400190783317885,0.27400190783317885,-1.6653345369377348e-16
14,2,26,25,0.6666666865348816,0.19945622980594635,0.5225684493780136,-3.064120037765463,2.9457422151795347,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,1125.5507202148435,0.2990730774193548,0.0,0.27400190783317885,0.27400190783317885,0.0
15,2,26,25,0.8333333134651184,0.22885262966156006,0.7514210790395737,-3.070150079503387,3.219677762512956,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,1200.801559448242,0.2990066156249999,0.0,0.2740019078331793,0.2740019078331793,4.440892098500626e-16
16,2,26,25,1.0,0.24857890605926514,1.0,-3.0761801141861027,3.49361331000168,6.361540794372559,0.21665076805684078,5.860561370849609,451.5050354003906,1276.0523986816404,0.2983182580645161,0.0,0.274001907833179,0.274001907833179,-2.7755575615628914e-16
17,3,25,23,0.1666666716337204,0.1071520522236824,0.1071520522236824,-3.0784176579552787,3.738520291122434,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1350.2412312825518,0.298873646875,0.0,0.24491720234356804,0.24491720234356804,-0.02908470548961098
18,3,25,23,0.3333333432674408,0.13632483780384064,0.24347689002752304,-3.076587292959041,3.9834306538427176,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1424.4300638834632,0.2984417612903225,0.0,0.24491720234356817,0.24491720234356817,1.3877787807814457e-16
19,3,25,23,0.5,0.16383512318134308,0.4073120132088661,-3.0698458306964076,4.22825505763115,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1498.6188964843745,0.298860353125,0.0,0.24491720234356776,0.24491720234356776,-4.163336342344337e-16
20,3,25,23,0.6666666865348816,0.1899603009223938,0.5972723141312599,-3.057442512544381,4.472857988322137,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1572.807729085286,0.299192734375,0.0,0.2449172023435678,0.2449172023435678,5.551115123125783e-17
21,3,25,23,0.8333333134651184,0.20508256554603577,0.8023548796772957,-3.039016115785954,4.7170810501043965,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1646.9965616861973,0.298195628125,0.0,0.24491720234356784,0.24491720234356784,2.7755575615628914e-17
22,3,25,23,1.0,0.19764509797096252,1.0,-3.014889704142902,4.960807027925863,0.9280086159706116,0.459023313803599,5.787501335144043,445.1329956054687,1721.1853942871087,0.2986476225806452,0.0,0.24491720234356784,0.24491720234356784,0.0
23,4,23,20,0.1666666716337204,0.09316042810678482,0.09316042810678482,-2.9872515193545097,5.2589455210820555,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,1793.6433258056634,0.29796965,0.0,0.2994168170959042,0.2994168170959042,0.054499614752336334
24,4,23,20,0.3333333432674408,0.12850899994373322,0.22166942805051804,-2.961949394998638,5.557291348709864,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,1866.101257324218,0.2982754125,0.0,0.29941681709590384,0.29941681709590384,-3.3306690738754696e-16
25,4,23,20,0.5,0.16465529799461365,0.3863247260451317,-2.9392446435395834,5.85584607505166,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,1938.5591888427728,0.2975085838709677,0.0,0.299416817095904,0.299416817095904,1.6653345369377348e-16
26,4,23,20,0.6666666865348816,0.2002837061882019,0.5866084322333336,-2.919165544620294,6.154588874373135,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,2011.0171203613274,0.29864765,0.0,0.29941681709590395,0.29941681709590395,-5.551115123125783e-17
27,4,23,20,0.8333333134651184,0.21301335096359253,0.7996217831969261,-2.9013597598022556,6.453475783398699,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,2083.475051879882,0.298208909375,0.0,0.29941681709590373,0.29941681709590373,-2.220446049250313e-16
28,4,23,20,1.0,0.2003781497478485,1.0,-2.8853173459536836,6.752462524438754,3.1761534214019775,0.0048598575341338,5.649384498596191,434.7475891113281,2155.9329833984366,0.2985545968749999,0.0,0.29941681709590384,0.29941681709590384,1.1102230246251565e-16
29,5,20,22,0.1666666716337204,0.1262797862291336,0.1262797862291336,-2.876600450648374,6.989736081168819,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2229.168355305989,0.2990066156249999,0.0,0.23743362227599318,0.23743362227599318,-0.06198319481991066
30,5,20,22,0.3333333432674408,0.16188815236091614,0.28816793859004974,-2.8730879369439415,7.227143720545852,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2302.403727213541,0.2989770193548386,0.0,0.2374336222759938,0.2374336222759938,6.106226635438361e-16
31,5,20,22,0.5,0.1929180920124054,0.48108603060245514,-2.8758087008748476,7.464561753624074,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2375.6390991210933,0.2908570843749999,0.0,0.23743362227599393,0.23743362227599393,1.3877787807814457e-16
32,5,20,22,0.6666666865348816,0.19498421251773834,0.6760702431201935,-2.88482474713391,7.701824131376961,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2448.8744710286455,0.181935215625,0.0,0.23743362227599363,0.23743362227599363,-3.0531133177191805e-16
33,5,20,22,0.8333333134651184,0.1711726188659668,0.8472428619861603,-2.8993677526088697,7.93881194958468,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2522.1098429361978,0.1082635129032258,0.0,0.2374336222759939,0.2374336222759939,2.7755575615628914e-16
34,5,20,22,1.0,0.15275709331035614,1.0,-2.918864132414662,8.175443765200347,0.9209777116775513,0.5213864810333873,5.711909294128418,439.4122314453125,2595.34521484375,0.140629221875,0.0,0.2374336222759931,0.2374336222759931,-8.049116928532385e-16
35,6,22,19,0.1666666716337204,0.047702230513095856,0.047702230513095856,-2.94265127509317,8.473650941770138,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,2670.260828653971,0.15999931875,0.0,0.2991543887602761,0.2991543887602761,0.06172076648428301
36,6,22,19,0.3333333432674408,0.060133159160614014,0.10783538967370987,-2.965493948828226,8.771931951174304,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,2745.1764424641924,0.1386196354838709,0.0,0.2991543887602757,0.2991543887602757,-3.885780586188048e-16
37,6,22,19,0.5,0.09517183899879456,0.20300722867250443,-2.9869587469372423,9.070315279724465,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,2820.0920562744136,0.139858153125,0.0,0.29915438876027534,0.29915438876027534,-3.885780586188048e-16
38,6,22,19,0.6666666865348816,0.19314417243003845,0.3961514011025429,-3.006126507050069,9.36885496768369,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,2895.007670084635,0.1943226935483871,0.0,0.2991543887602764,0.2991543887602764,1.0547118733938987e-15
39,6,22,19,0.8333333134651184,0.2786799669265747,0.6748313680291176,-3.0229084577914076,9.667538268930763,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,2969.923283894856,0.258870528125,0.0,0.2991543887602754,0.2991543887602754,-9.992007221626409e-16
40,6,22,19,1.0,0.325168639421463,1.0,-3.037785602930218,9.966322503566817,5.032394886016846,0.0070467603310366,5.845641613006592,449.4936828613281,3044.838897705077,0.29063105,0.0,0.29915438876027517,0.29915438876027517,-2.220446049250313e-16
41,7,19,17,0.20000000298023224,0.13996541500091553,0.13996541500091553,-3.0513269329542676,10.239989596724547,0.5200961232185364,0.21665076805684078,4.93526554107666,380.0875549316406,3120.8564086914052,0.298235528125,0.0,0.274001907833179,0.274001907833179,-0.025152480927096155
42,7,19,17,0.4000000059604645,0.16662658751010895,0.3065920025110245,-3.0647654371814697,10.51366175844429,0.5200961232185364,0.21665076805684078,4.93526554107666,380.0875549316406,3196.8739196777333,0.2974536903225806,0.0,0.27400190783317846,0.27400190783317846,-5.551115123125783e-16
43,7,19,17,0.6000000238418579,0.20228005945682526,0.5088720619678497,-3.0780776093176843,10.78734009439589,0.5200961232185364,0.21665076805684078,4.93526554107666,380.0875549316406,3272.8914306640613,0.29796961875,0.0,0.27400190783317846,0.27400190783317846,0.0
44,7,19,17,0.800000011920929,0.24179358780384064,0.7506656497716904,-3.0912377933005235,11.061025781003282,0.5200961232185364,0.21665076805684078,4.93526554107666,380.0875549316406,3348.9089416503894,0.29842160625,0.0,0.2740019078331785,0.2740019078331785,5.551115123125783e-17
45,7,19,17,1.0,0.24933430552482605,1.0,-3.104240791386383,11.334718980657568,0.5200961232185364,0.21665076805684078,4.93526554107666,380.0875549316406,3424.9264526367174,0.2990867741935484,0.0,0.27400190783317835,0.27400190783317835,-1.6653345369377348e-16
46,8,17,10,0.20000000298023224,0.15269222855567932,0.15269222855567932,-3.1172281296470827,11.608412923851647,0.40302029252052307,0.21665076805684078,4.612492561340332,352.4678955078125,3495.4200317382797,0.2982908387096774,0.0,0.2740019078331784,0.2740019078331784,5.551115123125783e-17
47,8,17,10,0.4000000059604645,0.18407298624515533,0.33676521480083466,-3.130196004769895,11.882107789917894,0.40302029252052307,0.21665076805684078,4.612492561340332,352.4678955078125,3565.913610839842,0.298248815625,0.0,0.2740019078331787,0.2740019078331787,2.7755575615628914e-16
48,8,17,10,0.6000000238418579,0.22020848095417023,0.5569736957550049,-3.14313993737368,12.155803789349692,0.40302029252052307,0.21665076805684078,4.612492561340332,352.4678955078125,3636.4071899414043,0.2985146625,0.0,0.2740019078331791,0.2740019078331791,4.440892098500626e-16
49,8,17,10,0.800000011920929,0.24880601465702057,0.8057797104120255,-3.1560560740285437,12.429501101923519,0.40302029252052307,0.21665076805684078,4.612492561340332,352.4678955078125,3706.9007690429667,0.29539049375,0.0,0.2740019078331793,0.2740019078331793,1.6653345369377348e-16
50,8,17,10,1.0,0.19422022998332977,1.0,-3.16894988333296,12.703199467241697,0.40302029252052307,0.21665076805684078,4.612492561340332,352.4678955078125,3777.394348144529,0.212876729032258,0.0,0.274001907833179,0.274001907833179,-2.7755575615628914e-16
51,9,10,9,0.20000000298023224,0.1321740448474884,0.1321740448474884,-3.1801540828539583,12.976972204031386,0.3252691328525543,0.21665076805684078,4.622021198272705,353.1697082519531,3848.0282897949196,0.1475556375,0.0,0.2740019078331794,0.2740019078331794,3.885780586188048e-16
52,9,10,9,0.4000000059604645,0.16163931787014008,0.2938133627176285,-3.189203421725362,13.250824636852808,0.3252691328525543,0.21665076805684078,4.622021198272705,353.1697082519531,3918.66223144531,0.1565427,0.0,0.2740019078331781,0.2740019078331781,-1.27675647831893e-15
53,9,10,9,0.6000000238418579,0.20278166234493256,0.49659502506256104,-3.19543726522018,13.524755622123742,0.3252691328525543,0.21665076805684078,4.622021198272705,353.1697082519531,3989.296173095701,0.168348284375,0.0,0.2740019078331794,0.2740019078331794,1.27675647831893e-15
54,9,10,9,0.800000011920929,0.22569452226161957,0.7222895473241806,-3.1984118815445086,13.79874138298358,0.3252691328525543,0.21665076805684078,4.622021198272705,353.1697082519531,4059.9301147460915,0.1359847258064516,0.0,0.2740019078331787,0.2740019078331787,-7.216449660063518e-16
55,9,10,9,1.0,0.2777104079723358,1.0,-3.1972252150943805,14.072740721156062,0.3252691328525543,0.21665076805684078,4.622021198272705,353.1697082519531,4130.564056396483,0.2578867,0.0,0.27400190783317907,0.27400190783317907,3.885780586188048e-16
